Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,模組,TNB,訂閱版本,Rollup,認領作者數量,create,note
網頁鎖右鍵功能,https://www.cyberbiz.io/support/?p=17072,17072,"網站設定>語法教學,常見問題",,"July 28, 2021 7:17 AM (GMT+8)",post,設定網頁鎖右鍵保護圖文版權 (https://app.notion.com/p/31224ee0f33c806da3cbdc485a1e84cf?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
跑馬燈轉場時間設定,https://www.cyberbiz.io/support/?p=17225,17225,"網站設定>語法教學,常見問題",,"July 28, 2021 6:58 AM (GMT+8)",post,調整首頁跑馬燈（輪播圖）的轉場停留時間 (https://app.notion.com/p/31724ee0f33c800193e0eb843c41ecac?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
樣版編輯器 / 特殊語法教學,https://www.cyberbiz.io/support/?p=17612,17612,"網站設定>語法教學,常見問題",,"July 29, 2021 1:25 AM (GMT+8)",post,樣版編輯器操作全攻略 (https://app.notion.com/p/31124ee0f33c80878574da1b053cc63b?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
商品圖片放大預覽功能鎖定,https://www.cyberbiz.io/support/?p=18122,18122,"網站設定>語法教學,常見問題",,"August 3, 2021 6:43 AM (GMT+8)",post,關閉商品圖片放大預覽功能 (https://app.notion.com/p/31624ee0f33c80f3b10eefc0672711c0?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
頁面崁入 GOOGLE 表單,https://www.cyberbiz.io/support/?p=18247,18247,"網站設定>語法教學,常見問題",,"August 6, 2021 2:28 AM (GMT+8)",post,如何在自訂頁面中嵌入 Google 表單 (https://app.notion.com/p/Google-31824ee0f33c80d28810e9bf20584214?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
客服中心資訊調整,https://www.cyberbiz.io/support/?p=18304,18304,"網站設定>前台介面,網站設定>語法教學,常見問題",,"August 5, 2021 4:22 AM (GMT+8)",post,設定與修改客服中心資訊 (https://app.notion.com/p/31924ee0f33c80eeb642f67b3ca9886a?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
轉貼連結預設圖片(OG image),https://www.cyberbiz.io/support/?p=19718,19718,"常見問題,網站設定",,"September 2, 2021 6:05 AM (GMT+8)",post,設定轉貼連結縮圖 (OG Image) (https://app.notion.com/p/OG-Image-31524ee0f33c80a789afd03832147295?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
多國語系 - 導覽列設定,https://www.cyberbiz.io/support/?p=19955,19955,跨境電商>多國語系,,"September 3, 2021 8:43 AM (GMT+8)",post,設定選單與導覽列 (https://app.notion.com/p/2fc24ee0f33c8012a46cfa34b378934c?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
CKEDITOR-文章編輯器教學,https://www.cyberbiz.io/support/?p=21070,21070,網站設定>前台介面,,"September 29, 2021 7:35 AM (GMT+8)",post,使用文字編輯器編輯內容 (https://app.notion.com/p/32824ee0f33c80cbb8a8ce8a3145cf2d?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
CYBERBIZ NOW設定首頁入口&專區顏色,https://www.cyberbiz.io/support/?p=24278,24278,"網站設定>前台介面,網站設定>拖拉版型,CYBERBIZ NOW快速到貨",,"December 20, 2021 7:46 AM (GMT+8)",post,(CYBERBIZ NOW快速到貨)設定快速到貨前台入口與專區 (https://app.notion.com/p/CYBERBIZ-NOW-2d824ee0f33c80979583c61be5a2e9dd?pvs=21),"https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a, https://app.notion.com/2d124ee0f33c80b19bdee6efe83fdc4a",branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
優先填寫收件人（海外訂單適用）,https://www.cyberbiz.io/support/?p=26454,26454,常見問題,,"January 21, 2022 11:05 AM (GMT+8)",post," 修改結帳流程為優先填寫收件人資訊 (https://app.notion.com/p/31924ee0f33c8056b2c2da42604e41ac?pvs=21)",https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
連結列表自動下拉,https://www.cyberbiz.io/support/?p=28145,28145,常見問題,,"March 2, 2022 11:21 AM (GMT+8)",post,設定導覽選單滑鼠移入自動展開 (https://app.notion.com/p/31624ee0f33c80ec8aa5cfe7d314ce72?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
商品評論,https://www.cyberbiz.io/support/?p=30610,30610,"TW台灣站,網站設定>拖拉版型,商品","品牌行銷,商品評論,評論功能","May 25, 2022 9:42 AM (GMT+8)",post,管理商品評論 (https://app.notion.com/p/24f24ee0f33c8025abdedd681fdda1ba?pvs=21),"https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94, https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a",trunk,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
選單/導覽列設定（跨境電商）,https://www.cyberbiz.io/support/?p=31570,31570,"跨境電商,網站設定>前台介面",,"July 5, 2022 4:31 AM (GMT+8)",post,設定前台選單 (https://app.notion.com/p/26924ee0f33c8048bf9ade1b4fc8773c?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,branch,,Jase,1,"December 31, 2025 12:22 PM",
選單/導覽列設定,https://www.cyberbiz.io/support/?p=33935,33935,網站設定>前台介面,,"October 5, 2022 1:57 AM (GMT+8)",post,"設定前台選單 (https://app.notion.com/p/26924ee0f33c8048bf9ade1b4fc8773c?pvs=21), 設定選單與導覽列 (https://app.notion.com/p/2fc24ee0f33c8012a46cfa34b378934c?pvs=21)","https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a","branch,trunk","https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e","Jase,Jase",1,"December 31, 2025 12:22 PM",
營業人資訊揭露,https://www.cyberbiz.io/support/?p=36327,36327,常見問題,,"January 19, 2023 8:59 AM (GMT+8)",post,揭露營業人名稱與統一編號 (https://app.notion.com/p/38724ee0f33c8041a17bc387ae092dd0?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
前台呈現語系設定,https://www.cyberbiz.io/support/?p=37183,37183,"TW台灣站,網站設定>前台介面",,"March 23, 2023 6:15 AM (GMT+8)",post,設定前台語系與文字自定義 (https://app.notion.com/p/31424ee0f33c80ab84e2cab61d5ef01b?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
拖拉版型 : 功能介紹,https://www.cyberbiz.io/support/?p=39903,39903,"TW台灣站,網站設定>拖拉版型",拖拉版型,"November 24, 2023 6:50 AM (GMT+8)",post,托拉版型網站設定 (https://app.notion.com/p/2fc24ee0f33c8031b435c07f9273c51d?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Jase,1,"December 31, 2025 12:22 PM",
自訂頁面管理,https://www.cyberbiz.io/support/?p=40485,40485,"網站外觀,TW台灣站,網站設定>拖拉版型","QA,商品,拖拉版型,網站外觀,聯絡我們,自訂頁面","January 2, 2024 6:32 AM (GMT+8)",post,設定與管理自訂頁面 (https://app.notion.com/p/31724ee0f33c80ee9c4dd3810cb7728f?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
顧客可留言頁面建立 reCAPTCHA 安全驗證機制,https://www.cyberbiz.io/support/?p=50193,50193,"商品,網站設定",,"July 30, 2025 7:24 AM (GMT+8)",post,啟用留言區 reCAPTCHA (https://app.notion.com/p/reCAPTCHA-24f24ee0f33c805a8f39fdbdd15c8b1f?pvs=21),"https://app.notion.com/24f24ee0f33c8077bcb4e3dd55c7a06a, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94, https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a",trunk,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
日本站官網需建立特定商取引法頁面,https://www.cyberbiz.io/support/?p=50470,50470,常見問題,,"August 18, 2025 3:36 AM (GMT+8)",post,日本站官網需建立特定商取引法頁面 (https://app.notion.com/p/31f24ee0f33c80eea2d6cea581ac309d?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
文字編輯器使用教學,https://www.cyberbiz.io/support/?p=51521,51521,常見問題,,"December 8, 2025 8:34 AM (GMT+8)",post,使用文字編輯器編輯內容 (https://app.notion.com/p/32824ee0f33c80cbb8a8ce8a3145cf2d?pvs=21),https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
