Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,Rollup,TNB,create,note,模組,產品,訂閱版本,認領作者數量
LINE OA 加入好友邀請(簡訊&E-mail),https://www.cyberbiz.io/support/?p=739,739,第三方整合>LINE相關設定,,"March 2, 2022 9:00 AM (GMT+8)",post,發送 LINE 加入好友邀請 (https://app.notion.com/p/LINE-30f24ee0f33c8026b1b2edef7d86e645?pvs=21),Jase,branch,"December 31, 2025 12:22 PM",,"https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4, https://app.notion.com/30424ee0f33c808e9f60dc11284260e9",EC,https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e,1
LINE OA 顯示會員條碼功能,https://www.cyberbiz.io/support/?p=748,748,第三方整合>LINE相關設定,,"March 12, 2019 11:28 AM (GMT+8)",post,設定與使用 LINE 顯示會員條碼（串接 POS 結帳） (https://app.notion.com/p/LINE-POS-31024ee0f33c8055a3b4c0f47bc35bf5?pvs=21),Jase,branch,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,POS,,1
LINE OA綁定會員送優惠券,https://www.cyberbiz.io/support/?p=763,763,第三方整合>LINE相關設定,"LINE,LINE OA,LINE推播,LINE行銷,優惠券","December 8, 2022 7:39 AM (GMT+8)",post,設定 LINE 綁定會員贈送優惠券 (https://app.notion.com/p/LINE-30f24ee0f33c801199a7d9684aeefe08?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
LINE OA 圖文選單設定,https://www.cyberbiz.io/support/?p=855,855,"TW台灣站,第三方整合>LINE相關設定","LINE,LINE OA,LINE行銷,圖文選單","September 15, 2022 6:34 AM (GMT+8)",post,設定 LINE 圖文選單 (https://app.notion.com/p/LINE-30a24ee0f33c80878bcbe2135543d4cc?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
Meta 廣告 – Step2 廣告活動設定,https://www.cyberbiz.io/support/?p=1755,1755,第三方整合>Facebook相關設定,,"October 16, 2024 2:39 AM (GMT+8)",post,設定 Meta 廣告活動 (https://app.notion.com/p/Meta-34824ee0f33c80a8a033e9fbe643d25e?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
YouTube Shopping - Step2：YPP 資格申請,https://www.cyberbiz.io/support/?p=1979,1979,第三方整合>YouTube相關設定,,"March 21, 2019 3:54 AM (GMT+8)",post,YouTube Shopping 設定指南 (https://app.notion.com/p/YouTube-Shopping-33024ee0f33c80eca94ac26bd4e13ca1?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
設定 Meta 廣告的單日預算,https://www.cyberbiz.io/support/?p=2166,2166,"第三方整合>Facebook相關設定,行銷活動",,"March 22, 2019 1:51 AM (GMT+8)",post,Meta 廣告每日預算設定指南 (https://app.notion.com/p/Meta-34824ee0f33c805fad96fef73a0c1dce?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
Meta 商品影片廣告 – 同步 CYBERBIZ 商品影片到 Meta 目錄,https://www.cyberbiz.io/support/?p=2175,2175,第三方整合>Facebook相關設定,,"March 22, 2019 2:01 AM (GMT+8)",post,同步商品影片至 Meta 目錄 (https://app.notion.com/p/Meta-34924ee0f33c8075a0f8e792fb215598?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
Google Analytics 排除第三方網站與內部流量,https://www.cyberbiz.io/support/?p=3962,3962,"第三方整合>Google相關設定,TW台灣站,跨境電商>日本站,跨境電商>北美站","GA4,GOOGLE,Google Analytics","February 3, 2023 3:53 AM (GMT+8)",post,設定 GA4 排除內部流量與第三方參照來源 (https://app.notion.com/p/GA4-32c24ee0f33c80719a75c88feeb1c82a?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
YouTube Shopping - Step1：GMC 與 GA4 帳號綁定後台,https://www.cyberbiz.io/support/?p=6118,6118,第三方整合>YouTube相關設定,,"March 2, 2020 3:36 AM (GMT+8)",post,YouTube Shopping 設定指南 (https://app.notion.com/p/YouTube-Shopping-33024ee0f33c80eca94ac26bd4e13ca1?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
YouTube Shopping - Step3：申請 YouTube Shopping,https://www.cyberbiz.io/support/?p=6149,6149,第三方整合>YouTube相關設定,,"March 3, 2020 8:36 AM (GMT+8)",post,YouTube Shopping 設定指南 (https://app.notion.com/p/YouTube-Shopping-33024ee0f33c80eca94ac26bd4e13ca1?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
使用 UTM 追蹤網站流量並整合至 GA4 報表,https://www.cyberbiz.io/support/?p=6434,6434,"第三方整合>Google相關設定,TW台灣站",,"July 29, 2022 9:00 AM (GMT+8)",post,使用 UTM 參數追蹤行銷流量與分析成效 (https://app.notion.com/p/UTM-32e24ee0f33c801ebcb0eca14a24290b?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
Facebook商業擴充套件－Step.1-1 初步設定,https://www.cyberbiz.io/support/?p=11341,11341,"第三方整合>Facebook相關設定,常見問題",FACEBOOK,"February 4, 2021 11:45 AM (GMT+8)",post,設定 FBE 帳號授權與資產連結 (https://app.notion.com/p/FBE-33d24ee0f33c8064ba34c2c783d8797f?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
FACEBOOK 商業擴充套件－Step.3 FB、IG商店設定,https://www.cyberbiz.io/support/?p=11757,11757,第三方整合>Facebook相關設定,,"March 23, 2021 4:03 AM (GMT+8)",post,設定 Facebook 與 Instagram 商店 (https://app.notion.com/p/Facebook-Instagram-34124ee0f33c8012b91ff75d246d7809?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
FACEBOOK 商業擴充套件－Step.1-2 權限說明,https://www.cyberbiz.io/support/?p=13747,13747,"第三方整合>Facebook相關設定,常見問題",,"June 11, 2021 6:51 AM (GMT+8)",post,設定 FBE 帳號授權與資產連結 (https://app.notion.com/p/FBE-33d24ee0f33c8064ba34c2c783d8797f?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
FACEBOOK 商業擴充套件－Step.2 網域驗證與事件設定,https://www.cyberbiz.io/support/?p=13973,13973,"第三方整合>Facebook相關設定,常見問題",,"June 15, 2021 7:02 AM (GMT+8)",post,設定 FBE 網域驗證 (https://app.notion.com/p/FBE-33e24ee0f33c80eda479f1f841377232?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
註冊 Google Search Console,https://www.cyberbiz.io/support/?p=15362,15362,"第三方整合>Google相關設定,常見問題",,"December 6, 2023 8:42 AM (GMT+8)",post,註冊並驗證 Google Search Console (https://app.notion.com/p/Google-Search-Console-32924ee0f33c802d8836d012260377cd?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
Meta 廣告 – Step1 廣告帳號建立/儲值,https://www.cyberbiz.io/support/?p=17882,17882,"第三方整合>Facebook相關設定,常見問題",,"July 29, 2021 11:36 AM (GMT+8)",post,建立 Meta 廣告帳號並儲值 (https://app.notion.com/p/Meta-34824ee0f33c802f818fd0ce935186a7?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
秘密群組設定,https://www.cyberbiz.io/support/?p=20280,20280,"TW台灣站,跨境電商>日本站,行銷活動>行銷工具,跨境電商>北美站","特定客群,秘密群組,行銷活動","April 17, 2023 6:28 AM (GMT+8)",post,設定秘密商品群組 (https://app.notion.com/p/24f24ee0f33c80ae8b51fa968a4c04f1?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,"https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94, https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4",EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
LINE 應用說明,https://www.cyberbiz.io/support/?p=21985,21985,第三方整合>LINE相關設定,,"October 25, 2021 9:39 AM (GMT+8)",post,LINE 整合總覽 (https://app.notion.com/p/LINE-38a24ee0f33c80febe4ad38c7e191f4d?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
FB & IG 異常狀況排除,https://www.cyberbiz.io/support/?p=24676,24676,常見問題,,"December 28, 2021 10:43 AM (GMT+8)",post,設定 Facebook 與 Instagram 商店 (https://app.notion.com/p/Facebook-Instagram-34124ee0f33c8012b91ff75d246d7809?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
在 Google 建立我的商家檔案,https://www.cyberbiz.io/support/?p=24764,24764,第三方整合>Google相關設定,,"January 4, 2022 11:48 AM (GMT+8)",post,建立與驗證 Google 商家檔案 (https://app.notion.com/p/Google-32724ee0f33c801b8165f165dd86339f?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
使用 Google 安全瀏覽工具檢查網站風險狀態,https://www.cyberbiz.io/support/?p=24812,24812,"第三方整合>Google相關設定,常見問題",,"January 5, 2022 10:40 AM (GMT+8)",post,使用 Google 安全瀏覽工具檢查並排除網站安全性風險 (https://app.notion.com/p/Google-32e24ee0f33c800aa5e7c15ee770932a?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
移除 Google 搜尋結果中的子目錄頁面,https://www.cyberbiz.io/support/?p=25441,25441,常見問題,,"January 13, 2022 7:03 AM (GMT+8)",post,從 Google 搜尋結果移除特定網頁或子目錄 (https://app.notion.com/p/Google-32d24ee0f33c8027a87dfa9ee1eb9261?pvs=21),Jase,trunk,"December 31, 2025 12:22 PM",,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,EC,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",1
