Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,模組,TNB,訂閱版本,Rollup,認領作者數量,create,note
Cyberbiz Now快速到貨-消費者購買流程,https://www.cyberbiz.io/support/?p=12978,12978,"常見問題,CYBERBIZ NOW快速到貨",,"June 4, 2021 8:12 AM (GMT+8)",post,(CYBERBIZ NOW快速到貨)消費者購買流程 (https://app.notion.com/p/CYBERBIZ-NOW-2fe24ee0f33c80b9b7bada1259d6c2ae?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
Cyberbiz Now快速到貨門市接單-接受訂單,https://www.cyberbiz.io/support/?p=13134,13134,CYBERBIZ NOW快速到貨,,"June 7, 2021 6:29 AM (GMT+8)",post,(CYBERBIZ NOW快速到貨)快速到貨訂單接單準備 (https://app.notion.com/p/CYBERBIZ-NOW-2fe24ee0f33c8015bea9e48534018e67?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
CYBERBIZ NOW快速到貨門市接單-出貨、司機媒合,https://www.cyberbiz.io/support/?p=13166,13166,"常見問題,CYBERBIZ NOW快速到貨",,"June 7, 2021 7:45 AM (GMT+8)",post,"(CYBERBIZ NOW快速到貨)快速到貨出貨與配送追蹤 (https://app.notion.com/p/CYBERBIZ-NOW-2fe24ee0f33c80949851d2c27feb5017?pvs=21), (CYBERBIZ NOW快速到貨)消費者購買流程 (https://app.notion.com/p/CYBERBIZ-NOW-2fe24ee0f33c80b9b7bada1259d6c2ae?pvs=21)","https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e","branch,branch","https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396","Ann Chen,Ann Chen",1,"December 31, 2025 12:22 PM",
CYBERBIZ NOW快速到貨門市接單-商家拒絕接單/退貨,https://www.cyberbiz.io/support/?p=13193,13193,"常見問題,CYBERBIZ NOW快速到貨",,"June 7, 2021 9:07 AM (GMT+8)",post,(CYBERBIZ NOW快速到貨)缺貨訂單部分配送或取消流程 (https://app.notion.com/p/CYBERBIZ-NOW-2fe24ee0f33c80a7bde4d610da89d496?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
CYBERBIZ NOW快速到貨門市接單-司機媒合後的相關問題集,https://www.cyberbiz.io/support/?p=13253,13253,"常見問題,CYBERBIZ NOW快速到貨",,"June 8, 2021 8:28 AM (GMT+8)",post,(CYBERBIZ NOW快速到貨)Pandago 配送異常規範 (https://app.notion.com/p/CYBERBIZ-NOW-Pandago-2fe24ee0f33c8061a1fdfa7b03c10bba?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
CYBERBIZ NOW快速到貨門市接單-部分出貨＆部分退款,https://www.cyberbiz.io/support/?p=13344,13344,"常見問題,CYBERBIZ NOW快速到貨",,"June 8, 2021 9:46 AM (GMT+8)",post,(CYBERBIZ NOW快速到貨)缺貨訂單部分配送或取消流程 (https://app.notion.com/p/CYBERBIZ-NOW-2fe24ee0f33c80a7bde4d610da89d496?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
CYBERBIZ NOW快速到貨門市接單流程,https://www.cyberbiz.io/support/?p=13744,13744,"常見問題,CYBERBIZ NOW快速到貨",,"June 10, 2021 2:33 AM (GMT+8)",post,(CYBERBIZ NOW快速到貨)快速到貨訂單接單準備 (https://app.notion.com/p/CYBERBIZ-NOW-2fe24ee0f33c8015bea9e48534018e67?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
CYBERBIZ NOW快速到貨-運費價格＆對帳方式,https://www.cyberbiz.io/support/?p=13847,13847,"TW台灣站,對帳,CYBERBIZ NOW快速到貨","CYBRBIZ NOW,pandago,快速到貨,金物流","October 26, 2023 8:53 AM (GMT+8)",post,(CYBERBIZ NOW快速到貨)快速到貨運費計算與對帳 (https://app.notion.com/p/CYBERBIZ-NOW-2fe24ee0f33c80a48369d1836a3f00d1?pvs=21),"https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e, https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef, https://app.notion.com/2fc24ee0f33c8003a132ebfde4059074",branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
補印/加印託運單,https://www.cyberbiz.io/support/?p=15891,15891,"訂單>訂單管理,常見問題",,"March 8, 2022 1:30 AM (GMT+8)",post,(宅配物流託運單)補印與加印託運單 (https://app.notion.com/p/2d824ee0f33c805f9afdea3b9755ef3f?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
Amazon FBA 物流設定,https://www.cyberbiz.io/support/?p=20676,20676,"跨境電商>日本站,跨境電商>北美站","Amazon FBA,北美站,物流設定,跨境電商","February 21, 2022 7:19 AM (GMT+8)",post,Amazon FBA 跨境物流 (https://app.notion.com/p/Amazon-FBA-36c24ee0f33c80819ebaf26e8d3214df?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
全家冷凍物流(B2C)申請流程,https://www.cyberbiz.io/support/?p=21320,21320,"常見問題,網站設定>金物流設定",,"October 5, 2021 2:33 AM (GMT+8)",post,申請全家冷凍物流 B2C (https://app.notion.com/p/B2C-2fb24ee0f33c80238e5fdb3e5c063214?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
部分串倉-拆單,https://www.cyberbiz.io/support/?p=22981,22981,"峰潮倉庫-Honeycomb,訂單",,"November 22, 2021 6:55 AM (GMT+8)",post,啟用部分串倉與拆單 (https://app.notion.com/p/32124ee0f33c8089bf8fc27463cfdc1e?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
部分串倉-混單,https://www.cyberbiz.io/support/?p=23149,23149,"常見問題,峰潮倉庫-Honeycomb,訂單",,"November 26, 2021 8:46 AM (GMT+8)",post,啟用部分串倉與混單 (https://app.notion.com/p/32124ee0f33c80949979d38b3438b470?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
DHL 物流開通設定,https://www.cyberbiz.io/support/?p=29664,29664,"訂單>出貨,跨境電商",,"April 15, 2022 2:49 AM (GMT+8)",post,DHL 跨境物流 (https://app.notion.com/p/DHL-36c24ee0f33c80d2881aeef46d07cd11?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
建立及管理 DHL 託運單,https://www.cyberbiz.io/support/?p=29736,29736,"訂單>出貨,跨境電商>多國語系,跨境電商>北美站,網站設定>金物流設定",,"April 19, 2022 4:05 AM (GMT+8)",post,DHL 跨境物流 (https://app.notion.com/p/DHL-36c24ee0f33c80d2881aeef46d07cd11?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
北美站-金流設定,https://www.cyberbiz.io/support/?p=30595,30595,"跨境電商>北美站,網站設定>金物流設定",,"May 25, 2022 3:08 AM (GMT+8)",post,北美站金流設定 (https://app.notion.com/p/31724ee0f33c80238057ff9f356326fd?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
日本站-金流設定,https://www.cyberbiz.io/support/?p=33442,33442,"跨境電商>日本站,網站設定>金物流設定",,"September 14, 2022 5:45 AM (GMT+8)",post,日本站金流設定 (https://app.notion.com/p/31724ee0f33c80ea9a90c65e346567a8?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",
CYBERBIZ PAYMENTS 金流申請流程,https://www.cyberbiz.io/support/?p=34623,34623,"TW台灣站,網站設定>金物流設定","CYBERBIZ PAYMENTS,申請流程,金流","December 13, 2022 1:02 AM (GMT+8)",post,申請 CYBERBIZ PAYMENTS (https://app.notion.com/p/CYBERBIZ-PAYMENTS-2f024ee0f33c805dac15c71d23b9318c?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
金流串接 : 街口支付,https://www.cyberbiz.io/support/?p=35115,35115,"TW台灣站,網站設定>金物流設定",,"November 28, 2022 3:44 AM (GMT+8)",post,設定街口支付 (https://app.notion.com/p/2f524ee0f33c80cdb9c3d376302cee03?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
金流申請：PAYPAL,https://www.cyberbiz.io/support/?p=35119,35119,"TW台灣站,網站設定>金物流設定",,"November 28, 2022 3:44 AM (GMT+8)",post,設定 PayPal (https://app.notion.com/p/PayPal-2f524ee0f33c8082bac8f60307c0dd00?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
金流申請：LINE Pay,https://www.cyberbiz.io/support/?p=35122,35122,"TW台灣站,常見問題,網站設定>金物流設定",,"November 28, 2022 3:43 AM (GMT+8)",post,設定 LINE Pay (https://app.notion.com/p/LINE-Pay-2f424ee0f33c80c09032e0788584f199?pvs=21),https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
