Name,Categories,Date,Doc By Plan,Refactor,ID,Permalink,Post Type,Tags,301
FACEBOOK 商業擴充套件－Step.3 FB、IG商店設定,第三方平台整合>Facebook相關設定,"March 23, 2021 4:02 AM (GMT+8)",設定 Facebook 與 Instagram 商店 (https://app.notion.com/p/Facebook-Instagram-34124ee0f33c8012b91ff75d246d7809?pvs=21),Yes,3113,https://www.cyberbiz.io/helpcenter/?p=3113,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
使用 Google 安全瀏覽工具檢查網站風險狀態,第三方平台整合>Google相關設定,"October 28, 2022 6:25 AM (GMT+8)",使用 Google 安全瀏覽工具檢查並排除網站安全性風險 (https://app.notion.com/p/Google-32e24ee0f33c800aa5e7c15ee770932a?pvs=21),Yes,3129,https://www.cyberbiz.io/helpcenter/?p=3129,post,#Facebook,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
FACEBOOK 商業擴充套件－Step.1-2 權限說明,"第三方平台整合>Facebook相關設定,網站設定>網域設定","June 15, 2021 7:34 AM (GMT+8)",設定 FBE 帳號授權與資產連結 (https://app.notion.com/p/FBE-33d24ee0f33c8064ba34c2c783d8797f?pvs=21),Yes,3221,https://www.cyberbiz.io/helpcenter/?p=3221,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
FACEBOOK 商業擴充套件－Step.2 網域驗證與事件設定,"第三方平台整合>Facebook相關設定,網站設定>網域設定","June 15, 2021 7:42 AM (GMT+8)",設定 FBE 網域驗證 (https://app.notion.com/p/FBE-33e24ee0f33c80eda479f1f841377232?pvs=21),Yes,3228,https://www.cyberbiz.io/helpcenter/?p=3228,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
註冊 Google Search Console,第三方平台整合>Google相關設定,"December 5, 2023 3:52 AM (GMT+8)",註冊並驗證 Google Search Console (https://app.notion.com/p/Google-Search-Console-32924ee0f33c802d8836d012260377cd?pvs=21),Yes,3375,https://www.cyberbiz.io/helpcenter/?p=3375,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
秘密群組設定,行銷活動>行銷工具,"September 10, 2021 8:22 AM (GMT+8)",設定秘密商品群組 (https://app.notion.com/p/24f24ee0f33c80ae8b51fa968a4c04f1?pvs=21),Yes,3872,https://www.cyberbiz.io/helpcenter/?p=3872,post,,"https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94, https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4"
LINE 應用說明,第三方平台整合>LINE相關設定,"October 26, 2021 2:13 AM (GMT+8)",LINE 整合總覽 (https://app.notion.com/p/LINE-38a24ee0f33c80febe4ad38c7e191f4d?pvs=21),Yes,4002,https://www.cyberbiz.io/helpcenter/?p=4002,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
FACEBOOK 快速登入異常 解決辦法,"第三方平台整合>Facebook相關設定,常見問題","January 28, 2022 4:23 AM (GMT+8)",設定 Facebook 快速登入 (https://app.notion.com/p/Facebook-33424ee0f33c80e19bade90d6351f6b9?pvs=21),No,4420,https://www.cyberbiz.io/helpcenter/?p=4420,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
Google 快速登入教學,第三方平台整合>Google相關設定,"May 13, 2022 9:45 AM (GMT+8)",設定 Google 快速登入（Google OAuth 串接） (https://app.notion.com/p/Google-Google-OAuth-32624ee0f33c8032b06dcdd8610da176?pvs=21),Yes,4728,https://www.cyberbiz.io/helpcenter/?p=4728,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
LINE Tag 設定,"第三方平台整合>LINE相關設定,常見問題","June 7, 2022 6:40 AM (GMT+8)",設定與管理 LINE Tag 追蹤 (https://app.notion.com/p/LINE-Tag-31f24ee0f33c8079a791df05455f3976?pvs=21),Yes,4769,https://www.cyberbiz.io/helpcenter/?p=4769,post,"LINE OA,LINE TAG,LINE推播","https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4"
UTM設定教學：分類Google Analytics 流量來源,第三方平台整合>Google相關設定,"July 29, 2022 9:30 AM (GMT+8)",使用 UTM 參數追蹤行銷流量與分析成效 (https://app.notion.com/p/UTM-32e24ee0f33c801ebcb0eca14a24290b?pvs=21),Yes,5156,https://www.cyberbiz.io/helpcenter/?p=5156,post,"GA,UTM",https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
Meta 廣告 – Step1 廣告帳號建立/儲值,第三方平台整合>Facebook相關設定,"September 20, 2022 7:36 AM (GMT+8)",建立 Meta 廣告帳號並儲值 (https://app.notion.com/p/Meta-34824ee0f33c802f818fd0ce935186a7?pvs=21),Yes,5621,https://www.cyberbiz.io/helpcenter/?p=5621,post,萊爾富,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
PLUS用戶 - LINE OA 受眾串接,"第三方平台整合>LINE相關設定,PLUS版適用","September 21, 2022 8:27 AM (GMT+8)",設定 LINE OA 受眾串接 (https://app.notion.com/p/LINE-OA-31b24ee0f33c80f2ae6fc5ba909a78d0?pvs=21),Yes,5631,https://www.cyberbiz.io/helpcenter/?p=5631,post,LINE OA,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
PLUS用戶 - LINE OA 建立/MESSAGING API 串接設定,"第三方平台整合>LINE相關設定,PLUS版適用","October 4, 2022 3:52 AM (GMT+8)",串接 LINE OA Messaging API (https://app.notion.com/p/LINE-OA-Messaging-API-30124ee0f33c804c8cb3d14f24657cee?pvs=21),Yes,5855,https://www.cyberbiz.io/helpcenter/?p=5855,post,"LINE,LINE OA,LINE推播,PLUS版專用",https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
PLUS用戶 - LINE OA 圖文選單設定,"第三方平台整合>LINE相關設定,PLUS版適用","October 4, 2022 3:53 AM (GMT+8)",設定 LINE 圖文選單 (https://app.notion.com/p/LINE-30a24ee0f33c80878bcbe2135543d4cc?pvs=21),Yes,5858,https://www.cyberbiz.io/helpcenter/?p=5858,post,"LINE,LINE OA,PLUS版專用",https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
PLUS用戶 - LINE OA 官方帳號 綁定 官網會員,"第三方平台整合>LINE相關設定,PLUS版適用","October 4, 2022 3:53 AM (GMT+8)",綁定 LINE 官方帳號與官網會員 (https://app.notion.com/p/LINE-30624ee0f33c8052b138efa3205dc666?pvs=21),Yes,5861,https://www.cyberbiz.io/helpcenter/?p=5861,post,"LINE,LINE OA,PLUS版專用,會員",https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
LINE 快速登入 : 取得會員手機號碼,"第三方平台整合>LINE相關設定,PLUS版適用,常見問題","March 10, 2023 9:00 AM (GMT+8)",設定 LINE 快速登入時取得會員手機號碼 (https://app.notion.com/p/LINE-30924ee0f33c8087a27dd5845d7e47eb?pvs=21),Yes,6674,https://www.cyberbiz.io/helpcenter/?p=6674,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
Google Analytics 排除第三方網站與內部流量,"第三方平台整合>Google相關設定,PLUS版適用","February 3, 2023 5:57 AM (GMT+8)",設定 GA4 排除內部流量與第三方參照來源 (https://app.notion.com/p/GA4-32c24ee0f33c80719a75c88feeb1c82a?pvs=21),Yes,6791,https://www.cyberbiz.io/helpcenter/?p=6791,post,"GA,GOOGLE",https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
Google Analytics 進階資料分析設定,"第三方平台整合>Google相關設定,PLUS版適用","March 7, 2023 7:26 AM (GMT+8)",設定 Google Analytics 進階追蹤與資料分析 (https://app.notion.com/p/Google-Analytics-32924ee0f33c8075a501d898246c911c?pvs=21),Yes,7099,https://www.cyberbiz.io/helpcenter/?p=7099,post,"GA,GOOGLE",https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
PLUS用戶 – LINE OA 發送訊息設定,常見問題,"May 8, 2023 5:53 AM (GMT+8)",設定與發送 LINE OA 分眾訊息推播¶ (https://app.notion.com/p/LINE-OA-31e24ee0f33c80a889d3de3f2c15b045?pvs=21),Yes,7324,https://www.cyberbiz.io/helpcenter/?p=7324,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
LINE LIFF：自動登入官網/加入LINE好友並綁定官網會員,常見問題,"June 27, 2023 8:46 AM (GMT+8)",設定 LINE LIFF 自動登入與會員綁定 (https://app.notion.com/p/LINE-LIFF-30924ee0f33c80cfbc1ed333e40b5879?pvs=21),Yes,7388,https://www.cyberbiz.io/helpcenter/?p=7388,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
LINE OA 增加好友工具應用(拖拉版型),"第三方平台整合>LINE相關設定,PLUS版適用,網站設定>拖拉版型","July 27, 2023 3:51 AM (GMT+8)","在官網新增 LINE 加入好友入口 (https://app.notion.com/p/LINE-30f24ee0f33c80a38b61ed34b237c740?pvs=21), LINE 官方帳號增加好友指南 (https://app.notion.com/p/LINE-31f24ee0f33c80c7b9bec76f968796b8?pvs=21)","Yes,No",7435,https://www.cyberbiz.io/helpcenter/?p=7435,post,"LINE,拖拉版型","https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4"
PLUS用戶 - LINE直播申請開通流程與設定,"第三方平台整合>LINE相關設定,PLUS版適用","August 7, 2023 3:18 AM (GMT+8)",申請與設定 LINE 直播功能 (https://app.notion.com/p/LINE-32224ee0f33c80a48f7cca096e9a0d40?pvs=21),Yes,7458,https://www.cyberbiz.io/helpcenter/?p=7458,post,PLUS版專用,"https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4"
PLUS用戶 - LINE購物申請開通流程與設定,PLUS版適用,"August 7, 2023 3:20 AM (GMT+8)",申請與設定 LINE 購物導購 (https://app.notion.com/p/LINE-32224ee0f33c80258681f4683c89a824?pvs=21),Yes,7462,https://www.cyberbiz.io/helpcenter/?p=7462,post,PLUS版專用,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
PLUS用戶 - LINE OA綁定會員送優惠券,"第三方平台整合>LINE相關設定,PLUS版適用","October 31, 2023 7:47 AM (GMT+8)",設定 LINE 綁定會員贈送優惠券 (https://app.notion.com/p/LINE-30f24ee0f33c801199a7d9684aeefe08?pvs=21),Yes,7783,https://www.cyberbiz.io/helpcenter/?p=7783,post,PLUS版專用,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
Meta 商品影片廣告 – 同步 CYBERBIZ 商品影片到 Meta 目錄,"第三方平台整合>Facebook相關設定,PLUS版適用","November 17, 2023 8:42 AM (GMT+8)",同步商品影片至 Meta 目錄 (https://app.notion.com/p/Meta-34924ee0f33c8075a0f8e792fb215598?pvs=21),Yes,7886,https://www.cyberbiz.io/helpcenter/?p=7886,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
設定 Meta 廣告的單日預算,"第三方平台整合>Facebook相關設定,PLUS版適用,行銷活動","December 5, 2023 7:43 AM (GMT+8)",Meta 廣告每日預算設定指南 (https://app.notion.com/p/Meta-34824ee0f33c805fad96fef73a0c1dce?pvs=21),Yes,8048,https://www.cyberbiz.io/helpcenter/?p=8048,post,PLUS版專用,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
自動化廣告系統,第三方平台整合>Google相關設定,"January 22, 2024 8:36 AM (GMT+8)",設定自動化廣告系統 (https://app.notion.com/p/26a24ee0f33c80a7a950f0e0254c4cb7?pvs=21),Yes,8203,https://www.cyberbiz.io/helpcenter/?p=8203,post,GOOGLE廣告,"https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4, https://app.notion.com/33d24ee0f33c80c387f0d917f6b83cb8"
Meta 廣告 – Step2 廣告活動設定,第三方平台整合>Facebook相關設定,"October 16, 2024 3:15 AM (GMT+8)",設定 Meta 廣告活動 (https://app.notion.com/p/Meta-34824ee0f33c80a8a033e9fbe643d25e?pvs=21),Yes,10374,https://www.cyberbiz.io/helpcenter/?p=10374,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
YouTube Shopping - Step1：GMC 與 GA4 帳號綁定後台,"PLUS版適用,第三方平台整合>YouTube相關設定","November 4, 2024 9:48 AM (GMT+8)",YouTube Shopping 設定指南 (https://app.notion.com/p/YouTube-Shopping-33024ee0f33c80eca94ac26bd4e13ca1?pvs=21),Yes,10552,https://www.cyberbiz.io/helpcenter/?p=10552,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
YouTube Shopping - Step2：YPP 資格申請,"PLUS版適用,第三方平台整合>YouTube相關設定","November 4, 2024 9:50 AM (GMT+8)",YouTube Shopping 設定指南 (https://app.notion.com/p/YouTube-Shopping-33024ee0f33c80eca94ac26bd4e13ca1?pvs=21),Yes,10555,https://www.cyberbiz.io/helpcenter/?p=10555,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
YouTube Shopping - Step3：申請 YouTube Shopping,"PLUS版適用,第三方平台整合>YouTube相關設定","November 4, 2024 9:50 AM (GMT+8)",YouTube Shopping 設定指南 (https://app.notion.com/p/YouTube-Shopping-33024ee0f33c80eca94ac26bd4e13ca1?pvs=21),Yes,10556,https://www.cyberbiz.io/helpcenter/?p=10556,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
Meta 廣告 – 【特殊情境】廣告創建失敗,第三方平台整合>Facebook相關設定,"November 15, 2024 2:23 AM (GMT+8)",手動分享資產權限給 CYBERBIZ (https://app.notion.com/p/CYBERBIZ-34924ee0f33c802294dacbcdfdb87df2?pvs=21),Yes,10681,https://www.cyberbiz.io/helpcenter/?p=10681,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
Meta廣告 – 目錄商品組合,"第三方平台整合>Facebook相關設定,常見問題","December 5, 2024 6:17 AM (GMT+8)",設定 Meta 廣告的目錄商品組合 (https://app.notion.com/p/Meta-34824ee0f33c80c3a965e74e92c12280?pvs=21),Yes,10789,https://www.cyberbiz.io/helpcenter/?p=10789,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
Meta ASC 廣告功能操作實戰與成效分享,第三方平台整合>Facebook相關設定,"December 11, 2024 8:20 AM (GMT+8)",ASC 廣告投放策略與最佳實務 (https://app.notion.com/p/ASC-34f24ee0f33c80a38e87c8ad3fd300cd?pvs=21),Yes,10820,https://www.cyberbiz.io/helpcenter/?p=10820,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
於訂單成立頁和付款完成頁新增加入 LINE 好友連結,"第三方平台整合>LINE相關設定,PLUS版適用,網站設定>前台介面","December 13, 2024 2:38 AM (GMT+8)","設定訂單成立頁與付款完成頁顯示 LINE 加入好友連結
 (https://app.notion.com/p/LINE-31124ee0f33c808c8418c00b64de15aa?pvs=21)",Yes,10871,https://www.cyberbiz.io/helpcenter/?p=10871,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
如何安裝 Meta Ads App,"第三方平台整合>Facebook相關設定,常見問題","April 2, 2025 10:36 AM (GMT+8)",安裝 Meta Ads App (https://app.notion.com/p/Meta-Ads-App-34824ee0f33c8058bb38d7c1281e4c96?pvs=21),Yes,11972,https://www.cyberbiz.io/helpcenter/?p=11972,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
開啟 Google Analytics 站內搜尋功能,第三方平台整合>Google相關設定,"April 25, 2025 2:10 AM (GMT+8)",設定 GA4 站內搜尋追蹤 (https://app.notion.com/p/GA4-32d24ee0f33c80a8aa02ec831a57a022?pvs=21),Yes,12099,https://www.cyberbiz.io/helpcenter/?p=12099,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
移除 Google 搜尋結果中的子目錄頁面,第三方平台整合>Google相關設定,"April 25, 2025 10:15 AM (GMT+8)",從 Google 搜尋結果移除特定網頁或子目錄 (https://app.notion.com/p/Google-32d24ee0f33c8027a87dfa9ee1eb9261?pvs=21),Yes,12105,https://www.cyberbiz.io/helpcenter/?p=12105,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
在 Google 建立我的商家檔案,"第三方平台整合>Google相關設定,常見問題","April 28, 2025 7:34 AM (GMT+8)",建立與驗證 Google 商家檔案 (https://app.notion.com/p/Google-32724ee0f33c801b8165f165dd86339f?pvs=21),Yes,12109,https://www.cyberbiz.io/helpcenter/?p=12109,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
Meta 廣告 – 【特殊情境】閒置帳號,,,Meta 廣告帳號閒置釋出機制與保留說明 (https://app.notion.com/p/Meta-34f24ee0f33c80cf8b91df64d462d56b?pvs=21),Yes,,https://www.cyberbiz.io/helpcenter/?p=12881,post,,https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4
